version_id,lang_code,lang_name,country,abbr,has_text,version_title
3421,abm,Abanyom,NG,ABM,true,Abanyom LP New Testament Portions
3971,abr,Abron,CI;GH,BBTP,true,Apam Foforɔ
2632,abn,Abua,NG,ẠḌI,true,Ạḍinya Iigbia
3381,mgj,Abureni,NG,MGJ,true,Abureni
559,ach,Acholi (Acoli),SS;UG,Aco85,true,Acoli Baibul
1707,fub,Adamawa Fulfulde,CM;ER;ET;NG;SD;TD,داَ,true,دٜڢْتٜرٜ اَللَّه ڢُلْڢُلْدٜ عَدَمَوَ
2265,ada,Adangme,GH,Dangme,true,BAIBLO ALOO NGMAMI KLƆUKLƆU Ɔ
2322,ada,Adangme,GH,DAN77,true,Somi He Ɔ
4465,kad,Adara,NG,KAD,true,Eda
4667,ade,Adele,GH;TG,ADE,true,Adele Old Testament
2185,adh,Adhola,KE;UG,DHOCDC,true,KITAWO MALEŊ Catholic
2186,adh,Adhola,KE;UG,DHOPE,true,KITAWO MALEŊ
1462,adj,Adioukrou,CI,adj,true,Adioukrou
3170,aar,Afar,DJ;ER;ET,NKM,true,NABUWWA KEE MALIKWA
2,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,ABA,true,Bybel vir almal
5,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,AFR53,true,Afrikaans 1933/1953
6,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,AFR83,true,Afrikaans 1983
50,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,DB,true,Die Boodskap
117,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,NLV,true,Nuwe Lewende Vertaling
3499,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,AFR20,true,Die Bybel 2020-vertaling
3660,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,CAB23,true,Contemporary Afrikaans Bible 2023
4384,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,PWL,true,PWL Druk Weergawe (Siries)
4401,afr,Afrikaans,BW;MZ;NA;ZA;ZM;ZW,SPC,true,PWL in Standaard Protestantse Canon
2620,agq,Aghem,CM,agq,true,To kə Kəzə̀ kə̀ Fughu ko
4444,afo,Ajiri,NG,ETP,true,Eloyi New Testament
4255,idc,Ajiya,NG,IDC-NG,true,Ajigha NT Portion
2094,aka,Akan,GH;TG,ASNA,true,Asante Twi Nkwa Asɛm
336,bss,Akoose,CM,bss,true,Melɛ̌ Mékɔ̄ɔ̄lē
4138,alw,Alaba-K’abeena,ET,hlb,true,Halaba New Testament
4445,ala,Alago,NG,ALA,true,OKOYI PEPE
3383,alf,Alege,NG,ALF,true,Alege LP NT Portions
1487,ald,Alladian,CI,ƐAA03,true,Ɛmɛẅi ankà ankrànkràn 2003
4443,aab,Alumu-Tesu,NG,Abt,true,Arum New Testament
2916,alz,Alur,CD;UG,AB1970,true,"The Holy Bible In Alur (Lur), Revised Orthography"
4356,rwm,Amba,CD;UG,KWAMBA,true,"Matayo, Bikoluwa ndia Bhakwenda"
